Available,Duration,Total_Fare,no_of_days_to_flight,Airways_Air India,Airways_AirAsia,Airways_Go Air,Airways_IndiGo,Airways_Jet Airways,Airways_Spicejet,Airways_Vistara,Dept_Time_BSR,Dept_Time_MDSS,Dept_Time_SRMD,Dept_Time_SSMN,Arr_Time_BSR,Arr_Time_MDSS,Arr_Time_SRMD,Arr_Time_SSMN,Hopping_False,Hopping_True
2,240,4089,52,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
9,130,3595,19,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
2,115,6130,8,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
4,130,3050,42,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
6,130,3050,33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
3,135,4490,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1,265,10498,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
15,135,2829,46,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
9,130,2609,46,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
9,590,7453,55,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
9,1155,7558,29,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
7,120,3852,50,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
4,150,4490,14,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
5,695,5647,40,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
9,130,3495,47,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,130,5160,16,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
9,775,8390,18,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
1,765,5647,45,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
7,595,10006,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
3,130,5160,14,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
9,130,3155,38,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
7,340,11853,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
10,135,4665,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
64,180,4899,41,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
2,135,2840,34,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
10,265,4542,32,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
7,350,41090,51,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
7,540,7012,38,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
7,565,6540,54,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
9,130,3495,41,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
4,640,10005,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
7,1200,5821,52,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
7,350,41090,53,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
9,130,3049,29,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
7,370,8199,26,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
5,1105,7012,41,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3,615,6561,32,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,1240,12047,6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
4,710,7012,33,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1,620,5926,42,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
5,400,10593,10,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
10,130,2840,43,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
7,835,8010,37,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
9,470,8976,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3,130,3249,44,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
1,135,3717,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
